ID,heading,sortid,path
145,Academia Republicii Populare Romine,145.5,19/0019/A1152
146,Academia Republicii Socialiste Romaine,146.5,19/0019/A1153
147,Academia Romana,147.5,19/0019/A1154
148,Academiae,148.5,19/0020/A1155
149,Academie,149.5,19/0020/A1156
150,Academie des ...,150.5,19/0020/A1157
151,Academie des J,151.5,19/0020/A1158
152,Academie du ...,152.5,19/0020/A1159
153,Academie I,153.5,19/0020/A1160
154,Academie R,154.5,19/0020/A1161
155,Academie royale des sciences,155.5,19/0021/A1162
156,"Academie royale des sciences, des lettres et des beaux-arts de Belgique, Br",156.5,sub
157,"Academie royale des sciences et belles-lettres, Berlin",157.5,19/0021/A1166
158,Academy,158.5,19/0021/J1432
159,Academy of Natural History,159.5,19/0021/A1167
160,Acadia,160.5,19/0021/A1168
161,Acaso,161.5,19/0021/A1169
162,Accademia,162.5,19/0021/A1173
163,Accademia de ...,163.5,19/0021/A1170
164,Accademia della ...,164.5,1/0022/A1171
165,Accademia F,165.5,1/0022/A1172
166,"Accademia nazionale dei Lincei, Rome",166.5,sub
167,"Accademia nazionale dei Lincei, Rome (Titles, etc.)",167.5,1/0022/A1179
168,Accademia O,168.5,1/0022/A1176
169,Accadia,169.5,1/0022/A1178
170,Accents,170.5,1/0022/A1181
171,Accidence,171.5,1/0022/A1182
172,Acciolo,172.5,19/0023/A1183
173,Accoce,173.5,19/0023/A1185
174,Account,174.5,19/0023/A1186
175,Account of the ...,175.5,19/0023/A1187
176,Account of the G,176.5,19/0023/A1188
177,Account of the Q,177.5,19/0023/A1200
178,Accounting (Subject),178.5,sub
179,"Accounting (Titles, etc.)",179.5,19/0024/A1195
180,"Accounts, Collecting of",180.5,19/0024/A1196
181,Acculturation,181.5,19/0024/A1197
182,Accum,182.5,19/0024/A1198
183,Ace,183.5,19/0024/A1199
184,Acev,184.5,19/0024/A1201
185,Achae,185.5,19/0024/A1202
186,Achard,186.5,19/0025/A1203
187,Acheloos,187.5,19/0025/A1204
188,Achi,188.5,19/0025/A1205
189,Achilli,189.5,19/0025/A1206
190,Achron',190.5,19/0025/A1207
191,Aci,191.5,19/0025/A1208
192,Ackerman,192.5,19/0025/A1209
193,Ackermann,193.5,19/0025/A1210
194,Ackermann aus Boehmen,194.5,1/0026/A1211
195,Ackoff,195.5,1/0026/A1212
196,Acocella,196.5,1/0026/A1213
197,Acoustic,197.5,1/0026/A1214
198,Acqua,198.5,1/0026/A1215
199,Acque,199.5,1/0026/A1217
200,Acra,200.5,1/0026/A1216
201,Acro,201.5,1/0026/A1218
202,Acs,202.5,1/0026/A1219
203,Act,203.5,19/0027/A1220
204,Acta,204.5,19/0027/A1221
205,Acta G,205.5,19/0027/A1222
206,Acta J,206.5,19/0027/A1223
207,Acta P,207.5,19/0027/A1224
208,Acta S,208.5,19/0027/A1225
209,Acta Z,209.5,19/0027/A1226
210,Acting (Subject),210.5,sub
211,"Acting (Titles, etc.)",211.5,19/0028/A1232
212,Actiniaria,212.5,19/0028/A1240
213,Action,213.5,19/0028/A1233
214,Action Francais,214.5,19/0028/A1234
215,Actionnaire,215.5,19/0028/A1235
216,Activated,216.5,19/0028/A1236
217,Acto,217.5,19/0028/A1237
218,Actors,218.5,sub
219,"Actors, Afro-American",219.5,2/0029/A1247
220,"Actors, English",220.5,2/0029/A1248
221,"Actors, French",221.5,2/0029/A1249
222,"Actors, Greek",222.5,2/0029/A1250
223,"Actors, an image",223.5,2/0029/A1251
224,Acts,224.5,2/0029/A1246
225,Actuacion,225.5,2/0029/A1245
226,Acun,226.5,2/0029/A1252
227,Acupuncture,227.5,3/0030/A1253
228,Ad,228.5,3/0030/A1254
229,Ada,229.5,3/0030/A1255
230,Adagia,230.5,3/0030/A1256
231,Adam (Forename),231.5,3/0030/A1257
232,Adam (Surname),232.5,3/0030/A1258
233,"Adam, G",233.5,3/0030/A1259
234,"Adam, M",235.5,4/0031/A1261
235,"Adam, R",236.5,4/0031/A1262
236,"Adam (Titles, etc.)",237.5,4/0031/A1263
237,Adama,238.5,4/0031/A1264
238,Adamic,239.5,4/0031/A1265
239,Adamicek,240.5,4/0031/A1266
240,Adams,241.5,4/0031/A1267
241,"Adams, C",242.5,4/0031/A1269
242,"Adams, D",243.5,4/0031/A1271
243,"Adams, F",244.5,4/0031/A1272
244,"Adams, G",245.5,4/0031/A1273
245,"Adams, H",246.5,4/0031/A1274
246,"Adams, I",247.5,4/0031/A1278
247,"Adams, John",248.5,4/0031/A1277
248,"Adams, John A",249.5,4/0031/A1286
249,"Adams, John Q",250.5,1/0033/A1280
250,"Adams, John R",251.5,1/0033/A1281
251,"Adams, N",252.5,1/0033/A1282
252,"Adams, R",253.5,1/0033/A1283
253,"Adams, S",254.5,1/0033/A1284
254,"Adams, W",255.5,1/0033/A1285
255,Adams family,256.5,1/0034/A1287
256,Adamska,257.5,1/0034/A1288
257,Adamu,258.5,1/0034/A1289
258,Adaptability,259.5,1/0034/A1290
259,Adaptation,260.5,1/0034/A1291
260,Adaptiv,261.5,1/0034/A1292
261,Adar,262.5,1/0034/A1293
262,Adcock,263.5,1/0034/A1294
263,Addicott,264.5,1/0034/A1295
264,Addison,265.5,1/0034/A1296
265,"Addison, Joseph",266.5,sub
266,"Addison, Joseph (Subject)",267.5,1/0035/A1300
267,"Addison, Julia",268.5,1/0035/A1301
268,Address,269.5,1/0035/A1302
269,Address to ...,270.5,1/0035/A1303
270,Addresses,271.5,1/0035/A1304
271,Ade,272.5,1/0035/A1305
272,Adelheid,273.5,1/0035/A1306
273,Adelphi,274.5,1/0035/A1307
274,Adelphus,275.5,19/0036/A1279
275,Aden,276.5,19/0036/A1276
276,Adenochoiradelogia,277.5,19/0036/A1275
277,Aderman,278.5,19/0036/A1270
278,Adghath,279.5,19/0036/A1268
279,Adhesion,280.5,19/0036/A1308
280,Adi,281.5,19/0036/A1309
281,Adickes,282.5,19/0036/A1310
282,Adinsky,283.5,19/0036/A1311
283,Adirovich,284.5,1/0037/A1313
284,Adkin,285.5,1/0037/A1314
285,Adler,286.5,1/0037/A1315
286,"Adler, F",287.5,1/0037/A1316
287,"Adler, K",288.5,1/0037/A1317
288,"Adler, S",289.5,1/0037/A1318
289,Administration,290.5,1/0037/A1320
290,Administration of ...,291.5,19/0038/A1321
291,Administrative,292.5,19/0038/A1322
292,Administrative B,293.5,19/0038/A1323
293,Administrative law,294.5,sub
294,Administrative law (Canon law),295.5,19/0038/A1332
295,Administrative P,296.5,19/0039/A1331
296,Administrative R,297.5,19/0039/A1337
297,Administrative T,298.5,19/0039/A1338
298,Admiralty,299.5,19/0039/A1339
299,Admussen,300.5,19/0039/A1340
300,Adolescence,301.5,19/0039/A1341
301,"Adolescence (Titles, etc.)",302.5,19/0039/A1342
