ID,heading,sortid,path
3560,Bourgin,3561.5,6/0592/B2532
3561,Bourguin,3562.5,6/0592/B2533
3562,Bourne,3563.5,6/0593/B2534
3563,"Bourne, R",3564.5,6/0593/B2535
3564,Bours,3565.5,6/0593/B2536
3565,Bousquet,3566.5,6/0593/B2537
3566,Boutaric,3567.5,6/0593/B2538
3567,Boutet,3568.5,6/0593/B2539
3568,Boutique,3569.5,6/0594/B2540
3569,Boutroux,3570.5,6/0594/B2541
3570,Bouvier,3571.5,6/0594/B2542
3571,Bouyac,3572.5,6/0594/B2543
3572,Bovet,3573.5,6/0594/B2544
3573,Bowden,3574.5,6/0594/B2545
3574,Bowditch,3575.5,6/0594/B2546
3575,Bowdoin,3576.5,6/0595/B2547
3576,Bowen,3577.5,6/0595/B2548
3577,"Bowen, G",3578.5,6/0595/B2549
3578,Bower,3579.5,6/0595/B2550
3579,Bowers,3580.5,6/0595/B2551
3580,Bowersock,3581.5,6/0595/B2552
3581,Bowie,3582.5,6/0595/B2553
3582,Bowles,3583.5,7/0596/B2554
3583,Bowley,3584.5,7/0596/B2555
3584,Bowman,3585.5,7/0596/B2556
3585,"Bowman, M",3586.5,7/0596/B2557
3586,Bown,3587.5,7/0596/B2558
3587,Bowser,3588.5,7/0596/B2559
3588,Box,3589.5,7/0596/B2560
3589,Boxford,3590.5,1/0597/J1806
3590,Boy,3591.5,1/0597/B2561
3591,Boyce,3592.5,1/0597/B2562
3592,Boyd,3593.5,1/0597/B2563
3593,"Boyd, J",3594.5,1/0597/B2564
3594,"Boyd, R",3595.5,1/0597/B2565
3595,Boydell,3596.5,1/0597/B2566
3596,Boyer,3597.5,7/0598/B2567
3597,"Boyer, P",3598.5,7/0598/B2568
3598,Boyle,3599.5,7/0598/B2569
3599,"Boyle, Robert, 1627-1691",3600.5,sub
3600,"Boyle, Robert, 1627-1691 (Subject)",3601.5,7/0598/B2575
3601,Boyles,3602.5,7/0598/B2577
3602,Boys,3603.5,7/0598/B2578
3603,Boz,3604.5,7/0599/B2579
3604,Bozic,3605.5,7/0599/B2580
3605,Br. S.,3606.5,7/0599/B2581
3606,Brabson,3607.5,7/0599/B2582
3607,Brach,3608.5,7/0599/B2583
3608,Bracht,3609.5,7/0599/B2584
3609,Brackenridge,3610.5,7/0599/B2585
3610,Brackett,3611.5,7/0600/B2586
3611,Brad,3612.5,7/0600/B2587
3612,Braddell,3613.5,7/0600/B2588
3613,Bradford,3614.5,7/0600/B2589
3614,"Bradford, J",3615.5,7/0600/B2590
3615,"Bradford, W",3616.5,7/0600/B2591
3616,Bradley,3617.5,7/0601/B2576
3617,"Bradley, F",3618.5,7/0601/B2592
3618,"Bradley, M",3619.5,7/0601/B2593
3619,Bradshaw,3620.5,7/0601/B2594
3620,Bradsher,3621.5,7/0601/B2595
3621,Brady,3622.5,7/0601/B2596
3622,"Brady, M",3623.5,7/0601/B2597
3623,Brae,3624.5,7/0601/B2598
3624,Braga,3625.5,7/0602/B2599
3625,Bragg,3626.5,7/0602/B2600
3626,Brahe,3627.5,7/0602/B2601
3627,"Brahms, Johannes",3628.5,sub
3628,"Brahms, Johannes (Subject)",3629.5,7/0602/B2606
3629,"Brahms (Titles, etc.)",3630.5,7/0602/B2607
3630,Brahn,3631.5,7/0603/B2608
3631,Brain (Person),3632.5,7/0603/B2609
3632,Brain (Subject),3633.5,sub
3633,"Brain (Titles, etc.)",3634.5,7/0603/B2613
3634,Brain damage,3635.5,7/0603/B2614
3635,Brainard,3636.5,7/0603/B2616
3636,Brainin,3637.5,8/0604/B2617
3637,Braive,3638.5,8/0604/B2618
3638,Bramble,3639.5,8/0604/B2619
3639,Bran,3640.5,8/0604/B2620
3640,Brancaccio,3641.5,8/0604/B2621
3641,Branchi,3642.5,8/0604/B2622
3642,Brand,3643.5,8/0604/B2623
3643,Branda,3644.5,8/0605/B2624
3644,Brandeis,3645.5,8/0605/B2625
3645,Brandenburg (Person),3646.5,8/0605/B2626
3646,Brandenburg (Place),3647.5,8/0605/B2627
3647,Brandes,3648.5,8/0605/B2628
3648,Brandin,3649.5,8/0605/B2629
3649,Brandon,3650.5,8/0606/B2630
3650,Brandt,3651.5,8/0606/B2631
3651,"Brandt, P",3652.5,8/0606/B2632
3652,Brandus,3653.5,8/0606/B2633
3653,Brann,3654.5,8/0606/B2634
3654,Branson,3655.5,8/0606/B2635
3655,Brant,3656.5,8/0606/B2436
3656,"Brant, S",3657.5,8/0607/B2615
3657,Braque,3658.5,8/0607/B2638
3658,Brasil,3659.5,8/0607/B2639
3659,Brasilia,3660.5,8/0607/B2640
3660,Brass,3661.5,8/0607/B2641
3661,Brasses,3662.5,8/0607/B2642
3662,Brathwait,3663.5,8/0607/B2643
3663,Bratislava,3664.5,8/0608/B2644
3664,Bratka,3665.5,8/0608/B2645
3665,Brau,3666.5,8/0608/B2646
3666,Braufels,3667.5,8/0608/B2647
3667,Braun,3668.5,8/0608/B2648
3668,"Braun, G",3669.5,8/0608/B2649
3669,"Braun, N",3670.5,8/0608/B2650
3670,Braune,3671.5,1/0609/B2651
3671,Brauns,3672.5,1/0609/B2652
3672,Braus,3673.5,1/0609/B2653
3673,Bravo,3674.5,1/0609/B2654
3674,Bray,3675.5,1/0609/B2655
3675,Braybrooke,3676.5,1/0609/B2656
3676,Brazier,3677.5,5/0610/B2657
3677,Brazil (Person),3678.5,5/0610/B2658
3678,Brazil (Place),3679.5,sub
3679,"Brazil, Northeast",3680.5,21/0614/B2425
3680,"Brazil (Titles, etc.)",3681.5,21/0614/B2426
3681,Brazilian,3682.5,21/0614/B2427
3682,Brazilian literature,3683.5,sub
3683,Brazilian M,3684.5,21/0614/B2493
3684,Brazilian R,3685.5,21/0614/B2435
3685,Brazing,3686.5,5/0615/B2437
3686,Bread,3687.5,5/0615/B2438
3687,Breaking,3688.5,5/0615/B2439
3688,Breast,3689.5,5/0615/B2440
3689,Breban,3690.5,5/0615/B2441
3690,Brecht,3691.5,5/0615/B2442
3691,"Brecht, Bertolt",3692.5,5/0615/B2443
3692,"Brecht, Bertolt (Subject)",3693.5,sub
3693,"Brecht, Christoph Heinrich",3694.5,5/0616/B2447
3694,Breckenridge,3695.5,5/0616/B2448
3695,Breda,3696.5,5/0616/B2449
3696,Bredsdorff,3697.5,5/0616/B2450
3697,Breedlove,3698.5,5/0616/B2451
3698,Bregman,3699.5,5/0616/B2452
3699,Breig,3700.5,7/0617/B2453
3700,Breithof,3701.5,7/0617/B2454
3701,Brekle,3702.5,7/0617/B2455
3702,Bremen (Person),3703.5,7/0617/B2456
3703,Bremen (Place),3704.5,sub
3704,Bremer,3705.5,7/0617/B2461
3705,Bremner,3706.5,7/0617/B2462
3706,Brenard,3707.5,7/0618/B2463
3707,Brennan,3708.5,7/0618/B2464
3708,Brenner,3709.5,7/0618/B2465
3709,Brenni,3710.5,7/0618/B2466
3710,Brentano,3711.5,7/0618/B2467
3711,"Brentano, F",3712.5,7/0618/B2468
3712,Breo,3713.5,7/0618/B2469
3713,Brescia,3714.5,7/0619/B2471
3714,Breslau (Person),3715.5,7/0619/B2472
3715,Breslau (Place),3716.5,7/0619/B2473
3716,Breslau (Archdiocese),3717.5,7/0619/B2474
3717,Bress,3718.5,7/0619/B2475
3718,Bret,3719.5,7/0619/B2476
3719,Breton,3720.5,7/0619/B2477
3720,"Breton, N",3721.5,7/0619/B2478
3721,Breton (Compound surnames),3722.5,21/0620/B2479
3722,Brett,3723.5,21/0620/B2480
3723,Brette,3724.5,21/0620/B2481
3724,Breul,3725.5,21/0620/B2482
3725,Breventani,3726.5,21/0620/B2483
3726,Brewer,3727.5,21/0620/B2484
3727,"Brewer, L",3728.5,21/0621/B2485
3728,Brewster,3729.5,21/0621/B2486
3729,Brey,3730.5,21/0621/B2487
3730,Brezhnev,3731.5,21/0621/B2488
3731,Bria,3732.5,21/0621/B2489
3732,Bribiesca,3733.5,21/0621/B2490
3733,Bricka,3734.5,2/0622/B2494
3734,Bricks,3735.5,2/0622/B2495
3735,Bridge,3736.5,2/0622/B2496
3736,"Bridge (Titles, etc.)",3737.5,2/0622/B2497
3737,Bridges,3738.5,2/0622/B2500
3738,"Bridges, R",3739.5,2/0622/B2501
3739,Bridges (Subject),3740.5,sub
3740,"Bridges, Arched",3741.5,2/0623/B2505
3741,Bridgman,3742.5,2/0623/B2506
3742,Brief,3743.5,2/0623/B2507
3743,"Brief (Titles, etc.)",3744.5,2/0623/B2508
3744,Brief H,3745.5,2/0623/B2509
3745,Brief R,3746.5,2/0623/B2510
3746,Briefe,3747.5,2/0623/B2511
3747,Briefe in der ...,3748.5,3/0624/B2498
3748,Briefs,3749.5,3/0624/B2513
3749,Brier,3750.5,3/0624/B2514
3750,Brig,3751.5,3/0624/B2515
3751,Briggs,3752.5,3/0624/B2516
3752,"Briggs, K",3753.5,3/0624/B2517
3753,Brigham,3754.5,3/0625/B2518
3754,Brigham Young Academy,3755.5,3/0625/B2519
3755,Bright,3756.5,3/0625/B2520
3756,"Bright ... (Titles, etc)",3757.5,3/0625/B2682
3757,Brighton,3758.5,3/0625/B2683
3758,Brik,3759.5,3/0625/B2684
3759,Brilling,3760.5,3/0626/B2685
3760,Brinckmann,3761.5,3/0626/B2686
3761,Bring,3762.5,3/0626/B2687
3762,Brink,3763.5,3/0626/B2688
3763,Brinkman,3764.5,3/0626/B2689
3764,Brinsley,3765.5,3/0626/B2690
3765,Brio,3766.5,3/0626/B2691
3766,Brisbane,3767.5,3/0627/B2692
3767,Brisman,3768.5,3/0627/B2693
3768,Brisson,3769.5,3/0627/B2694
3769,Bristol (Person),3770.5,3/0627/B2695
3770,Bristol (Place),3771.5,3/0627/B2696
3771,"Bristol ... (Titles, etc.)",3772.5,3/0627/B2697
3772,Britain,3773.5,3/0627/B2698
3773,"Britain, Battle of",3774.5,3/0627/B2699
3774,"Britain ... (Titles, etc.)",3775.5,3/0627/B2700
3775,Britain L,3776.5,6/0628/B2701
3776,Britannia,3777.5,6/0628/B2702
3777,British,3778.5,6/0628/B2703
3778,British agent,3779.5,6/0628/B2705
3779,British archaeological abstracts,3780.5,6/0628/B2706
3780,British association,3781.5,6/0628/B2707
3781,British B,3782.5,6/0628/B2708
3782,British C,3783.5,6/0628/B2709
3783,British Columbia,3784.5,sub
3784,"British Columbia ... (Titles, etc.)",3785.5,6/0629/B2715
3785,British D,3786.5,6/0629/B2716
3786,British F,3787.5,6/0629/B2717
3787,British Guiana,3788.5,6/0629/B2718
3788,British in ...,3789.5,6/0630/B2719
3789,British in J,3790.5,6/0630/B2720
3790,British institute,3791.5,6/0630/B2721
3791,British L,3792.5,6/0630/B2722
3792,British M,3793.5,6/0630/B2723
3793,British Museum,3794.5,sub
3794,British Museum (Natural History),3795.5,sub
3795,"British Museum (Titles, etc.)",3796.5,21/0632/B2737
3796,British P,3797.5,21/0632/B2738
3797,British Po,3798.5,21/0632/B2739
3798,British R,3799.5,21/0632/B2740
3799,British S,3800.5,21/0632/B2741
3800,British So,3801.5,21/0632/A4954
3801,British T,3802.5,21/0632/B2742
3802,Brito,3803.5,21/0633/B2731
3803,Brittain,3804.5,21/0633/B2733
3804,Brittany (Person),3805.5,21/0633/B2745
3805,Brittany (Place),3806.5,sub
3806,Brittany (Province),3807.5,21/0633/B2751
3807,Britton,3808.5,21/0633/B2752
3808,Britz,3809.5,21/0633/B2753
3809,Brizan,3810.5,21/0634/B2754
3810,Broadacre,3811.5,21/0634/B2755
3811,Broader,3812.5,21/0634/B2756
3812,Broadus,3813.5,21/0634/B2757
3813,Broch,3814.5,21/0634/B2758
3814,Brock,3815.5,21/0634/B2759
3815,"Brock, R",3816.5,21/0634/B2760
3816,Brockelman,3817.5,21/0634/B2512
3817,Brockington,3818.5,9/0635/B2762
3818,Brod,3819.5,9/0635/B2763
3819,Broder,3820.5,9/0635/B2764
3820,Brodie,3821.5,9/0635/B2765
3821,Brodskaia,3822.5,9/0635/B2766
3822,Brody,3823.5,9/0635/B2767
3823,Broe,3824.5,9/0636/B2768
3824,Broensted,3825.5,9/0636/B2769
3825,Broglie,3826.5,9/0636/B2770
3826,Broida,3827.5,9/0636/B2771
3827,Brokers,3828.5,9/0636/B2772
3828,Brome,3829.5,9/0636/B2773
3829,Bromfield,3830.5,9/0637/B2774
3830,Brommer,3831.5,9/0637/B2775
3831,Bronheim,3832.5,9/0637/B2776
3832,Brons,3833.5,9/0637/B2777
3833,Bronte,3834.5,9/0637/B2778
3834,"Bronte, Charlotte",3835.5,sub
3835,"Bronte, Charlotte (Subject)",3836.5,9/0637/B2807
3836,"Bronte, Emily",3837.5,9/0637/B2782
3837,Bronte Family,3838.5,9/0637/B2783
3838,"Bronte, Italy",3839.5,9/0637/B2808
3839,Bronze,3840.5,9/0638/B2784
3840,Bronze age,3841.5,sub
3841,"Bronze age ... (Titles, etc.)",3842.5,9/0638/B2790
3842,Bronzes,3843.5,9/0638/B2791
3843,"Bronzes, African",3844.5,9/0638/B2792
3844,"Bronzes, Greek",3845.5,9/0638/B2793
3845,Brook,3846.5,9/0638/B2794
3846,Brooke,3847.5,9/0638/B2795
3847,"Brooke, H",3848.5,21/0639/B2796
3848,"Brooke, R",3849.5,21/0639/B2797
3849,Brookes,3850.5,21/0639/B2798
3850,Brookings Institution,3851.5,sub
3851,Brookings lectures,3852.5,21/0639/B2802
3852,Brooklyn,3853.5,21/0639/B2803
3853,"Brooklyn ... (Titles, etc.)",3854.5,21/0640/B2809
3854,Brooklyn I,3855.5,21/0640/B2810
3855,Brooklyn L,3856.5,21/0640/B2811
3856,Brooks,3857.5,21/0640/B2812
3857,"Brooks, E",3858.5,21/0640/B2813
3858,"Brooks, K",3859.5,21/0640/B2814
3859,"Brooks, S",3860.5,21/0640/B2815
3860,"Brooks ... (Titles, etc.)",3861.5,21/0640/B2816
3861,Broome,3862.5,4/0641/B2817
3862,Brose,3863.5,4/0641/B2818
3863,Bross,3864.5,4/0641/B2819
3864,Brot,3865.5,4/0641/B2820
3865,Brothers,3866.5,4/0641/B2821
3866,Brou,3867.5,4/0641/B2822
3867,Brough,3868.5,4/0641/B2823
3868,Broughton,3869.5,4/0641/B2824
3869,Brouillant,3870.5,9/0642/B2826
3870,Brout,3871.5,9/0642/B2827
3871,Browderick,3872.5,9/0642/B2828
3872,Brown,3873.5,9/0642/B2825
3873,"Brown, Amos",3874.5,9/0642/B2829
3874,"Brown, B",3875.5,9/0642/B2830
3875,"Brown, C",3876.5,9/0642/B2831
3876,"Brown, Clair",3877.5,10/0643/B2832
3877,"Brown, D",3878.5,10/0643/B2833
3878,"Brown, E",3879.5,10/0643/B2834
3879,"Brown, F",3880.5,10/0643/B2835
3880,"Brown, G",3881.5,10/0643/B2836
3881,"Brown, H",3882.5,10/0643/B2837
3882,"Brown, Holmes",3883.5,10/0643/B2838
3883,"Brown, J",3884.5,10/0644/B2839
3884,"Brown, John",3885.5,10/0644/B2840
3885,"Brown, John, 1800-1859",3886.5,10/0644/B2841
3886,"Brown, John Mason",3887.5,10/0644/B2842
3887,"Brown, L",3888.5,10/0644/B2843
3888,"Brown, M",3889.5,10/0644/B2844
3889,"Brown, O",3890.5,10/0645/B2845
3890,"Brown, R",3891.5,10/0645/B2846
3891,"Brown, Robert",3892.5,10/0645/B2847
3892,"Brown, S",3893.5,10/0645/B2848
3893,"Brown, T",3894.5,10/0645/B1499
3894,"Brown, U",3895.5,10/0645/B1500
3895,"Brown, W",3896.5,10/0645/B1501
3896,"Brown, William",3897.5,10/0645/B1502
3897,"Brown, William H.",3898.5,10/0646/B1503
3898,"Brown ... (Titles, etc.)",3899.5,10/0646/B1504
3899,Brown U,3900.5,10/0646/B1505
3900,Brown V,3901.5,10/0646/B1506
3901,Browne,3902.5,10/0646/B1507
3902,"Browne, F",3903.5,10/0646/B1508
3903,"Browne, J",3904.5,10/0646/B1509
3904,"Browne, R",3905.5,10/0646/B1510
3905,"Browne, Thomas",3906.5,10/0647/B1511
3906,"Browne, Sir Thomas, 1605-1682",3907.5,sub
3907,"Browne, Sir Thomas, 1605-1682 (Subject)",3908.5,10/0647/B1521
3908,"Browne, Thomas, 1654?-1741",3909.5,10/0647/B1515
3909,Brownfeld,3910.5,10/0647/B1516
3910,Browning,3911.5,10/0647/B1517
3911,"Browning, Elizabeth (Barrett)",3912.5,sub
3912,"Browning, Elizabeth (Barrett) (Subject)",3913.5,10/0647/B1523
3913,"Browning, Ernst",3914.5,10/0647/B1524
3914,"Browning, Robert, 1781-1866",3915.5,10/0647/B1525
3915,"Browning, Robert, 1812-1889",3916.5,sub
3916,"Browning, Robert, 1812-1889 (Subject)",3917.5,10/0647/B1530
3917,"Browning, Robert, 1914-",3918.5,8/0648/B1531
3918,Brownson,3919.5,8/0648/B1532
3919,Bru,3920.5,8/0648/B1533
3920,Bruce,3921.5,8/0648/B1534
3921,"Bruce, L",3922.5,8/0648/B1535
3922,Brucher,3923.5,8/0648/B1536
3923,Bruckner,3924.5,10/0649/B1537
3924,Brudno,3925.5,10/0649/B1538
3925,Brueckner,3926.5,10/0649/B1539
3926,Brueghel,3927.5,10/0649/B1540
3927,Bruening,3928.5,10/0649/B1541
3928,Bruenn (Person),3929.5,10/0649/B1542
3929,Bruenn (Place),3930.5,sub
3930,Bruenn (Region) Statni archiv,3931.5,10/0650/B1548
3931,Brugada,3932.5,10/0650/B1549
3932,Brugg,3933.5,10/0650/B1550
3933,Brugsch,3934.5,10/0650/B1551
3934,Bruin,3935.5,10/0650/B1552
3935,Brumbaugh,3936.5,10/0650/B1553
3936,Brun,3937.5,10/0651/B1554
3937,Brundu,3938.5,10/0651/B1555
3938,Brunelli,3939.5,10/0651/B1556
3939,Brunet,3940.5,10/0651/B1557
3940,Brunetiere,3941.5,10/0651/B1558
3941,Brunk,3942.5,10/0651/B1559
3942,Brunner,3943.5,10/0651/B1560
3943,"Brunner, J",3944.5,10/0652/B1561
3944,Bruno,3945.5,10/0652/B1562
3945,"Bruno, H",3946.5,10/0652/B1563
3946,Bruns,3947.5,10/0652/B1564
3947,Brunswick,3948.5,10/0652/B1565
3948,Brunswig,3949.5,10/0652/B1566
3949,Brush,3950.5,3/0653/B1567
3950,Brussels (Place),3951.5,sub
3951,"Brussels ... (Titles, etc.)",3952.5,8/0654/B1581
3952,Bruun,3953.5,8/0654/B1582
3953,Bruyns,3954.5,8/0654/B1583
3954,Bryan,3955.5,8/0654/B1584
3955,"Bryan, W",3956.5,8/0654/B1585
3956,Bryant,3957.5,8/0654/B1586
3957,"Bryant, P",3958.5,10/0655/B1587
3958,"Bryant, William Cullen, 1794-1878",3959.5,sub
3959,"Bryant, William Cullen, 1794-1878 (Subject)",3960.5,10/0655/B1591
3960,Brydges,3962.5,10/0655/B1593
3961,Bryn Mawr,3963.5,10/0655/B1594
3962,Brzechwa,3964.5,10/0655/B1595
3963,Bub,3965.5,10/0655/B1596
3964,Buber,3966.5,21/0656/B1598
3965,"Buber, S",3967.5,21/0656/B1599
3966,Buccaneers,3968.5,21/0656/B1600
3967,Buch,3969.5,21/0656/B1601
3968,Buchan,3970.5,21/0656/B1602
3969,Buchanan,3971.5,21/0656/B1603
3970,"Buchanan, George",3972.5,sub
3971,"Buchanan, George (Subject)",3973.5,21/0657/B1607
3972,"Buchanan, Golden",3974.5,21/0657/B1597
3973,"Buchanan, R",3975.5,21/0657/B1608
3974,Bucharest,3976.5,21/0657/B1609
3975,Buchenau,3977.5,21/0657/B1610
3976,Buchheim,3978.5,21/0657/B1611
3977,Buchholtz,3979.5,21/0657/B1612
3978,Buchner,3980.5,21/0657/B1613
3979,Buchon,3981.5,11/0658/B1614
3980,Buck,3982.5,11/0658/B1615
3981,"Buck, P",3983.5,11/0658/B1616
3982,Bucka,3984.5,11/0658/B1617
3983,Buckingham,3985.5,11/0658/B1618
3984,"Buckingham, J",3986.5,11/0658/B1619
3985,"Buckingham, England",3987.5,11/0658/B1620
3986,Buckle,3988.5,11/0659/B1621
3987,Buckley,3989.5,11/0659/B1622
3988,Bucklin,3990.5,11/0659/B1623
3989,Bucksch,3991.5,11/0659/B1624
3990,Budapest,3992.5,sub
3991,"Budapest ... (Titles, etc.)",3993.5,11/0660/B1631
3992,Budde,3994.5,11/0660/B1633
3993,Buddha (Person),3995.5,11/0660/B1634
3994,Buddha and Buddhism,3996.5,sub
3995,Buddha and his doctrine,3997.5,21/0661/B1642
3996,Buddhism,3998.5,21/0661/B1643
3997,Buddhist,3999.5,21/0661/B1644
3998,Buddicom,4000.5,21/0661/B1645
3999,Budge,4001.5,21/0661/B1646
4000,Budget,4002.5,sub
4001,"Budget, Energy (Geophysics)",4003.5,21/0662/B1660
4002,Budhasvamin,4004.5,21/0663/B1661
4003,Budy,4005.5,21/0663/B1662
4004,Buecherei,4006.5,21/0663/B1663
4005,Buechner,4007.5,21/0663/B1664
4006,"Buechner, J",4008.5,21/0663/B1665
4007,Buehler,4009.5,21/0663/B1666
4008,Buehling,4010.5,21/0664/B1667
4009,Buell,4011.5,21/0664/B1668
4010,Buen,4012.5,21/0664/B1669
4011,Buenos Aires,4013.5,sub
4012,Buenos Aires (Province),4014.5,22/0665/B1682
4013,Buerger,4015.5,22/0665/B1692
4014,"Buerger, Gottfried August",4016.5,sub
4015,"Buerger, Gottfried August (Subject)",4017.5,22/0665/B1688
4016,"Buerger, H",4018.5,22/0665/B1670
4017,Buergin,4019.5,22/0665/B1689
4018,Buet,4020.5,22/0665/B1690
4019,Buffalo (Place),4021.5,22/0665/B1691
4020,"Buffalo, American",4022.5,2/0666/B1693
4021,Buffam,4023.5,2/0666/B1694
4022,Bufo,4024.5,2/0666/B1695
4023,Bugbee,4025.5,2/0666/B1696
4024,Bugnet,4026.5,2/0666/B1697
4025,Buhtur,4027.5,4/0667/B1698
4026,Building,4028.5,sub
4027,"Building, Adobe",4029.5,4/0667/B1709
4028,"Building, Stone",4030.5,7/0668/B1710
4029,"Building ... (Titles, etc.)",4031.5,7/0668/B1711
4030,Building C,4032.5,7/0668/B1712
4031,Building L,4033.5,7/0668/B1713
4032,Building M,4034.5,7/0668/B1714
4033,Building P,4035.5,7/0668/B1715
4034,Building S,4036.5,7/0668/B1716
4035,Buildings,4037.5,7/0669/B1717
4036,"Buildings, Commercial",4038.5,7/0669/B1721
4037,Buisson,4039.5,7/0669/B1722
4038,Buk,4040.5,7/0669/B1723
4039,Bukharin,4041.5,7/0669/B1724
4040,Buki,4042.5,7/0669/B1725
4041,Bul,4043.5,8/0670/B1718
4042,Bulfinch,4044.5,8/0670/B1719
4043,Bulgaria,4045.5,sub
4044,"Bulgaria ... (Titles, etc.)",4046.5,10/0671/B1738
4045,Bulgarian,4047.5,10/0671/B1739
4046,Bulgarian L,4048.5,10/0671/B1740
4047,Bulgarian literary,4049.5,10/0671/B1741
4048,Bulgarian M,4050.5,10/0672/B1742
4049,"Bulgarska akademiia na naukite, Sofia",4051.5,sub
4050,Bulgarska asotsiasiia po ...,4052.5,10/0672/B1749
4051,Bulgarski,4053.5,10/0672/B1750
4052,Bulirsch,4054.5,10/0673/B1751
4053,Bull,4055.5,10/0673/B1752
4054,Bull-fighters,4056.5,10/0673/B1753
4055,Bullarium,4057.5,10/0673/B1754
4056,Bulletin,4058.5,10/0673/B1755
4057,Bulletin M,4059.5,10/0673/B1756
4058,Bulletin on ...,4060.5,1/0674/B1757
4059,Bullington,4061.5,1/0674/B1758
4060,Bullock,4062.5,1/0674/B1759
4061,Bullon,4063.5,1/0674/B1760
4062,Bulnes,4064.5,1/0674/B1761
4063,Bulthe,4065.5,1/0675/B1762
4064,Bulwark,4066.5,1/0675/B1763
4065,Bunbury,4067.5,1/0675/B1764
4066,Bunderson,4068.5,1/0675/B1765
4067,Bundy,4069.5,1/0675/B1766
4068,Bunin,4070.5,1/0675/B1767
4069,Bunkhouse,4071.5,3/0676/B1768
4070,Bunsen,4072.5,3/0676/B1769
4071,Buntinx,4073.5,3/0676/B1770
4072,Bunyan,4074.5,3/0676/B1771
4073,"Bunyan, John, 1628-1688",4075.5,sub
4074,"Bunyan, John, 1628-1688 (Subject)",4076.5,3/0676/B1778
4075,"Bunyan, John A.",4077.5,3/0676/B1779
4076,Buonarroti,4078.5,5/0677/B1780
4077,"Buonarroti, Michel Angelo, 1475-1564",4079.5,5/0677/B1781
4078,"Buonarroti, Michel Angelo, 1475-1564 (Subject)",4080.5,sub
4079,"Buonarroti, Michel Angelo, 1568-1646",4081.5,5/0677/B1787
4080,Burandt,4082.5,5/0677/B1788
4081,Burch,4083.5,5/0677/B1789
4082,Burchfiel,4084.5,5/0677/B1790
4083,Burckhardt,4085.5,6/0678/B1791
4084,"Burckhardt, K",4086.5,6/0678/B1792
4085,Burder,4087.5,6/0678/B1793
4086,Burdin,4088.5,6/0678/B1794
4087,Bureau,4089.5,6/0678/B1795
4088,"Bureau (Titles, etc.)",4090.5,6/0678/B1805
4089,Bureau of National,4091.5,6/0678/B1796
4090,Bureaucracy,4092.5,sub
4091,"Bureaucracy ... (Titles, etc.)",4093.5,19/0679/B1800
4092,Burg,4094.5,19/0679/B1801
4093,Burger,4095.5,19/0679/B1802
4094,Burges,4096.5,19/0679/B1803
4095,Burgess,4097.5,19/0679/B1804
4096,"Burgess, H",4098.5,21/0680/B1806
4097,Burgh,4099.5,21/0680/B1807
4098,Burgin,4100.5,21/0680/B1808
4099,Burgoyne,4101.5,21/0680/B1809
4100,Burgundy,4102.5,21/0680/B1810
4101,Burham,4103.5,21/0681/B1811
4102,Buriat,4104.5,21/0681/B1812
4103,Buried,4105.5,21/0681/B1813
4104,Burke,4106.5,21/0681/B1814
4105,"Burke, Edmund, 1729?-1797",4107.5,sub
4106,"Burke, Edmund, 1729?-1797 (Subject)",4108.5,21/0681/B1820
4107,"Burke, Edmund, 1940-",4109.5,21/0681/B1821
4108,"Burke, F",4110.5,21/0681/B1822
4109,"Burke, K",4111.5,21/0681/B1823
4110,"Burke (Titles, etc.)",4112.5,21/0682/B1824
4111,Burkhardt,4113.5,21/0682/B1825
4112,Burko,4114.5,21/0682/B1826
4113,Burlesque,4115.5,21/0682/B1827
4114,Burlington,4116.5,21/0682/B1828
4115,Burma (Person),4117.5,19/0683/B1829
4116,Burma (Place),4118.5,sub
4117,Burma (Union),4119.5,19/0683/B1833
4118,"Burma, Lower",4120.5,19/0683/B1834
4119,"Burma (Titles, etc.)",4121.5,19/0683/B1835
4120,Burmese,4122.5,19/0683/B1836
4121,Burnaby,4123.5,19/0683/B1837
4122,Burne,4124.5,19/0683/B1838
4123,Burnet,4125.5,19/0683/B1839
4124,"Burnet, G",4126.5,1/0684/B1840
4125,"Burnet, Gilbert, 1643-1715",4127.5,sub
4126,"Burnet, Gilbert, 1643-1715 (Subject)",4128.5,1/0684/B1845
4127,"Burnet, Gilbert, 1690-1726",4129.5,1/0684/B1846
4128,Burnett,4130.5,1/0684/B1847
4129,Burney,4131.5,1/0684/B1848
4130,Burnham,4132.5,1/0684/B1849
4131,Burning,4133.5,1/0684/B1850
4132,Burns,4134.5,1/0684/B1851
4133,"Burns, G",4135.5,1/0684/B1852
4134,"Burns, R",4136.5,1/0684/B1853
4135,"Burns, Robert, 1759-1796",4137.5,sub
4136,"Burns, Robert, 1759-1796 (Subject)",4138.5,1/0684/B1858
4137,"Burns, Robert, 1789-1869",4139.5,1/0684/B1859
4138,Buros,4140.5,1/0684/B1860
4139,Burr,4141.5,1/0684/B1861
4140,"Burr, N",4142.5,21/0686/B1862
4141,Burrell,4143.5,21/0686/B1863
4142,Burritt,4144.5,21/0686/B1864
4143,Burroughs,4145.5,21/0686/B1865
4144,"Burroughs, M",4146.5,21/0686/B1866
4145,"Burroughs ... (Titles, etc.)",4147.5,21/0686/B1869
4146,Burrows,4148.5,21/0686/B1867
4147,Bursay,4149.5,21/0686/B1868
